Date,Close,High,Low,Open,Volume
2017-01-02,213.69,213.69,213.69,213.69,0
2017-01-03,216.99,220.33,210.96,214.86,5923254
2017-01-04,226.99,228.0,214.31,214.75,11213471
2017-01-05,226.75,227.48,221.95,226.42,5911695
2017-01-06,229.01,230.31,225.45,226.93,5527893
2017-01-09,231.28,231.92,228.0,228.97,3979484
2017-01-10,229.87,232.0,226.89,232.0,3659955
2017-01-11,229.73,229.98,226.68,229.07,3650825
2017-01-12,229.59,230.7,225.58,229.06,3790229
2017-01-13,237.75,237.85,229.59,230.0,6092960
2017-01-16,237.75,237.75,237.75,237.75,0
2017-01-17,235.58,239.96,234.37,236.7,4617522
2017-01-18,238.36,239.71,235.58,236.65,3768967
2017-01-19,243.76,248.68,240.75,247.25,7732303
2017-01-20,244.73,246.0,243.01,245.46,4204275
2017-01-23,248.92,250.8899,245.5,245.85,6262938
2017-01-24,254.61,254.8,249.65,250.0,4965451
2017-01-25,254.47,258.46,251.8,257.31,5146361
2017-01-26,252.51,255.74,250.75,254.29,3152123
2017-01-27,252.95,253.0,248.52,251.38,3166336
2017-01-30,250.63,255.2899,247.1,252.53,3801074
2017-01-31,251.93,255.89,247.7,249.24,4116104
2017-02-01,249.24,253.2,249.05,253.05,3958829
2017-02-02,251.55,252.42,247.71,248.34,2499775
2017-02-03,251.33,252.179,249.68,251.91,2186723
2017-02-06,257.77,257.82,250.63,251.0,3562517
2017-02-07,257.48,260.0,256.42,258.19,4244775
2017-02-08,262.08,263.36,256.2,257.35,3933014
2017-02-09,269.2,271.18,266.15,266.25,7820222
2017-02-10,269.23,270.95,266.11,269.79,3619739
2017-02-13,280.6,280.7899,270.51,270.74,7029605
2017-02-14,280.98,287.39,278.61,279.03,7345224
2017-02-15,279.76,282.24,276.44,280.0,4947856
2017-02-16,268.95,280.0,268.5,277.6,7077322
2017-02-17,272.23,272.89,264.15,265.8,6257149
2017-02-20,272.23,272.23,272.23,272.23,0
2017-02-21,277.39,281.4,274.01,275.45,5676747
2017-02-22,273.51,283.45,272.6,280.31,8754975
2017-02-23,255.99,264.66,255.56,264.0,14915249
2017-02-24,257.0,258.25,250.2,252.66,8171626
2017-02-27,246.23,248.36,242.01,248.17,11460810
2017-02-28,249.99,251.0,243.9,244.19,6078145
2017-03-01,250.02,254.85,249.11,254.18,4809488
2017-03-02,250.48,253.28,248.27,249.71,3351833
2017-03-03,251.57,251.9,249.0,250.74,2929234
2017-03-06,251.21,251.7,247.51,247.91,3355500
2017-03-07,248.59,253.89,248.32,251.92,3459470
2017-03-08,246.87,250.07,245.32,247.0,3728649
2017-03-09,244.9,248.66,243.0,247.63,3879293
2017-03-10,243.69,246.5,243.0,246.21,3066272
2017-03-13,246.17,246.85,242.781,244.39,3022625
2017-03-14,258.0,258.12,246.02,246.11,7598446
2017-03-15,255.73,261.0,254.27,257.0,5330806
2017-03-16,262.05,265.75,259.06,262.4,7132153
2017-03-17,261.5,265.33,261.2,264.0,6497496
2017-03-20,261.92,264.55,258.821,260.6,3614294
2017-03-21,250.68,264.8,250.24,262.83,6908554
2017-03-22,255.01,255.07,250.51,251.56,4059297
2017-03-23,254.78,257.672,253.3,255.39,3320245
2017-03-24,263.16,263.89,255.01,255.7,5647253
2017-03-27,270.22,270.57,259.75,260.6,6230795
2017-03-28,277.45,280.68,275.0,277.02,7987604
2017-03-29,277.38,279.6,275.54,278.34,3676157
2017-03-30,277.92,282.0,277.21,278.04,4148425
2017-03-31,278.3,279.68,276.3197,278.73,3294640
2017-04-03,298.52,299.0,284.58,286.9,13888618
2017-04-04,303.7,304.81,294.53,296.89,10134556
2017-04-05,295.0,304.88,294.2,302.04,7880938
2017-04-06,298.7,301.94,294.1,296.88,5520588
2017-04-07,302.54,302.69,297.15,297.5,4579613
2017-04-10,312.39,313.7299,308.71,309.15,7664458
2017-04-11,308.71,313.47,305.5,313.38,5724577
2017-04-12,296.84,308.4481,296.32,306.34,6050682
2017-04-13,304.0,307.39,295.3,296.7,9284634
2017-04-14,304.0,304.0,304.0,304.0,0
2017-04-17,301.44,304.0,298.68,302.7,4138735
2017-04-18,300.25,300.8399,297.9,299.7,3035698
2017-04-19,305.52,306.62,302.11,302.46,3898024
